country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
ES,3125529,40.43708,-0.8515,Cedrillas,44.6,75,0,5.82
BR,3471840,-15.8975,-52.250832,Aragarcas,74.21,86,68,2.55
AU,2069358,-35.5,138.449997,Inman Valley,86,27,0,6.93
US,4710697,30.917669,-99.786461,Menard,50.97,34,90,4.7
SY,166365,32.890442,36.039902,Nawa,50,76,0,4.7
FR,3016737,49.986141,1.55624,Gamaches,41,86,68,8.05
DE,2937333,52.416672,8.71667,Diepenau,38.75,93,75,13.87
US,5391959,37.774929,-122.419418,San Francisco,60.04,13,75,8.05
FR,2979478,48.232159,7.36843,Saint-Hippolyte,39.2,86,90,9.17
FR,6454217,49.416672,-1.53333,Néhou,43.7,93,92,20.8
FR,6447144,43.48333,5.5,Meyreuil,34.52,100,56,5.82
US,4375229,38.774479,-92.257133,Ashland,33.21,68,90,13.87
AU,7839350,-17.96785,145.965607,Cassowary Coast,72.64,99,92,5.86
NO,3141101,68.832222,16.48917,Røykjenes,17.15,56,0,10.29
GB,2654635,51.359081,1.43938,Broadstairs,43.7,87,40,11.41
AF,1131462,32.92775,66.63253,Uruzgan,50.59,34,64,2.62
FR,6451992,48.950001,2.31667,Épinay-sur-Seine,39.42,93,75,11.41
IT,3178232,40.95211,14.55144,Comiziano,43.68,87,8,4.7
JP,1860750,31.73333,130.666672,Kajiki,60.13,93,75,9.17
IT,6539189,37.747452,14.39727,Nicosia,49.14,76,0,13.87
PL,776092,52.700001,23.866671,Bialowieza,33.8,95,75,2.24
FR,3031676,46.0,6.66667,Arrondissement de Bonneville,32.86,93,0,5.82
AT,2781317,48.694248,15.52008,Brunn an der Wild,37.45,91,0,9.17
IT,2524241,38.353981,16.2883,Martone,54.5,71,40,14.99
AU,2063866,-34.849998,138.783325,Paracombe,86,27,0,6.93
DE,2887453,50.033329,7.53333,Klosterkumbd,35.64,90,40,8.05
DE,6554886,49.783298,7.96667,Wonsheim,37.08,100,90,10.29
CU,3551608,22.871389,-82.423889,La Salud,73.4,83,75,4.7
NL,2750764,52.04417,4.575,Moerkapelle,37.04,93,8,10.29
ES,3126015,41.719669,-1.02812,Casetas,43.57,75,20,3.36
DE,2891014,51.133331,7.58333,Kierspe,36.79,80,20,8.05
TH,1615717,14.98333,102.283333,Ban Nong Hoi,91.4,59,20,10.29
ID,1646281,-7.4249,108.474197,Ciparay,83.12,80,64,3.33
FR,3019972,49.201672,0.53675,Épreville-en-Lieuvin,41.9,87,90,12.75
DE,6555664,49.483299,8.795,Heiligkreuzsteinach,38.43,85,20,8.05
DE,2807488,52.640461,11.96154,Wischer,36.28,95,92,13.96
US,4177897,25.984541,-80.198936,West Park,67.77,56,1,12.75
CN,6861736,32.327709,105.032341,Magong,55.04,52,64,3.06
MX,3531434,20.75,-97.616669,Castillo de Teayo,58.69,99,92,6.76
GB,2635174,51.57526,-2.81453,Undy,40.17,86,8,13.87
CA,6139445,47.783192,-53.164768,Salmon Cove,28.4,79,90,16.11
ES,3109369,42.781479,-7.41431,Sarria,37.67,98,92,2.39
SI,3199169,46.0,14.0,Ob?ina Idrija,40.53,100,90,1.12
BE,2800320,49.738331,5.34104,Chiny,35.6,93,75,8.05
PH,1679945,11.2135,124.392097,Villaba,83.57,91,48,11.39
CN,2037913,41.165279,121.366669,Linghai,26.38,75,0,11.05
PH,1688566,10.6043,123.744102,San Roque,87.8,58,20,14.99
DE,2854892,48.26667,12.76667,Perach,37.4,86,90,4.7
IT,3172074,41.860619,13.03309,Olevano Romano,40.98,93,0,4.7
FR,2986411,48.730579,-3.24208,Pommerit-Jaudy,42.8,93,92,11.41
FR,6438518,50.299999,3.45,Thiant,37.4,86,76,10.29
US,4167536,27.16783,-80.266159,Palm City,57.51,48,1,9.17
AU,2175329,-41.48333,147.483337,Blessington,77,31,0,10.29
GR,258522,37.933331,21.26667,Lechaina,57.2,82,75,6.93
YE,415189,12.77944,45.036671,Aden,77.27,96,0,3
MK,786113,41.683609,21.144171,Samokov,44.6,87,75,2.21
DE,2900987,51.187832,7.7465,Hohl,36.75,80,75,13.87
FR,2972107,49.472252,3.00939,Tracy-le-Mont,39.2,93,44,12.75
DE,2904491,51.049999,7.5,Himmerkusen,36.5,80,20,8.05
NL,2759632,52.98333,6.55,Gemeente Assen,36.79,93,75,9.17
DE,6550451,50.616699,11.85,Löhma,34.03,96,92,14.63
GB,2657780,51.671089,-1.28278,Abingdon,41.54,100,48,10.29
MX,3520875,19.25,-97.783333,Rafael Lara Grajales,41.18,84,0,4.63
US,7259871,25.493731,-80.391319,Homestead Base,67.44,82,20,11.41
DE,2937285,49.08083,8.06722,Dierbach,39.2,86,40,11.41
DE,6552858,53.727798,7.36965,Baltrum,37.4,93,75,9.17
KZ,1523470,46.533329,76.199997,Karabas,26.78,100,0,5.01
CN,1923636,26.218889,115.436394,Jiecun,51.58,70,68,11.9
DE,6556323,48.083302,11.7167,Putzbrunn,35.56,92,75,9.17
RU,527581,56.033329,37.216671,Mendeleyevo,15.3,85,75,15.66
PT,2271677,38.716671,-9.41667,Amoreira,50,100,75,4.7
AR,3846719,-31.960569,-61.178028,Loma Alta,56.08,75,0,2.84
TR,742238,40.874439,37.263889,Kumru,53.11,76,92,6.08
LI,3042069,47.216671,9.51667,Gemeinde Eschen,37.99,86,8,4.7
BG,6459565,41.916672,23.58333,Kraishhe,30.79,90,88,1.83
ES,6362036,39.556789,-0.39124,Moncada,48.2,87,75,5.82
ES,3107719,42.55162,-2.27285,Torres del Rio,45.52,100,20,3.36
DK,2622310,56.772758,9.33926,Farso,32,99,80,2.24
UA,700544,50.128689,30.24029,Mytnitsa,32.61,98,90,4.47
